"target_grade","assignment_preference","age","gender","university_year","enrolled_unit","weekly_study_hours","work_status","weekly_paid_work_hours","average_daily_sleep","usual_bedtime","weekly_exercise_hours","weekly_food_spend","wam"
"Distinction","draw up a schedule and work through it in planned stages",20,"M","Third year","DATA2002",10,"Part time",5,"8.0",1899-12-31 01:00:00,5,200,73
"High Distinction","draw up a schedule and work through it in planned stages",20,"F","Second year","DATA2002",2,"Casual",20,"8.0",1899-12-31 22:00:00,12,50,78
"Distinction","cram at the last second",23,"F","Second year","DATA2002",2,"Casual",25,"7hours",1899-12-31,6,300,78
"High Distinction","draw up a schedule and work through it in planned stages",19,"M","Second year","DATA2002",10,"Casual",13,"6.0",1899-12-31 01:00:00,10,150,70
"Distinction","draw up a schedule and work through it in planned stages",21,"M","Third year","DATA2002",35,"Part time",16,"8 hours",1899-12-31 23:00:00,6,150,79
"High Distinction","draw up a schedule and work through it in planned stages",19,"F","Second year","DATA2002",4,"Casual",3,"8.0",1899-12-31 23:00:00,6,70,85
"High Distinction","draw up a schedule and work through it in planned stages",19,"F","Second year","DATA2002",9,"Part time",9,"10 hours",1899-12-31 20:30:00,5,100,82.7
"Distinction","cram at the last second",21,"F","First year","DATA2002",20,"I don't currently work",0,"7.0",1899-12-31 03:00:00,2,200,65
"High Distinction","cram at the last second",19,"M","Second year","DATA2902",20,"Casual",13,"7 hours",1899-12-31 01:00:00,2,50,85
"Credit","do them immediately",18,"F","Second year","DATA2902",35,"Casual",15,"9 hours",1899-12-31 22:30:00,4,50,70
"High Distinction","cram at the last second",20,"F","Third year","DATA2902",15,"I don't currently work",0,"8.0",1899-12-31,3,85,89
"High Distinction","do them immediately",19,"M","Third year","DATA2902",12,"I don't currently work",0,"7.0",1899-12-31,7,500,80
"High Distinction","cram at the last second",20,"M","Second year","DATA2902",25,"Part time",20,"7.0",1899-12-31 12:00:00,5,200,76
"Credit","draw up a schedule and work through it in planned stages",19,"F","Second year","DATA2902",8,"Casual",12,"8.0",1899-12-31 10:00:00,8,100,70
